id,choice,answer,open_question,status,user_id,question_id,quiz_id,created_at,updated_at
1,1,NULL,NULL,1,6,17,2,2022-08-25 17:18:19,2022-08-25 17:18:19
2,0,NULL,NULL,1,6,18,2,2022-08-25 17:18:19,2022-08-25 17:18:19
3,1,NULL,NULL,1,6,19,2,2022-08-25 17:18:19,2022-08-25 17:18:19
4,1,NULL,NULL,1,6,20,2,2022-08-25 17:18:19,2022-08-25 17:18:19
5,1,NULL,NULL,1,6,21,2,2022-08-25 17:18:19,2022-08-25 17:18:19
7,1,NULL,aku berak di celana,1,6,3,2,2022-08-25 17:18:19,2022-08-25 17:18:19
8,NULL,ya ndatau,NULL,1,6,4,2,2022-08-25 17:18:19,2022-08-25 17:18:19
9,1,NULL,NULL,1,8,17,2,2022-08-25 19:24:47,2022-08-25 19:24:47
10,0,NULL,NULL,1,8,18,2,2022-08-25 19:24:47,2022-08-25 19:24:47
11,0,NULL,NULL,1,8,19,2,2022-08-25 19:24:47,2022-08-25 19:24:47
12,1,NULL,NULL,1,8,20,2,2022-08-25 19:24:47,2022-08-25 19:24:47
13,0,NULL,NULL,1,8,21,2,2022-08-25 19:24:47,2022-08-25 19:24:47
15,1,NULL,Memberi kepada sesama,1,8,3,2,2022-08-25 19:24:47,2022-08-25 19:24:47
16,NULL,Karena saya rajin berdoa memohon kebaikan Tuhan,NULL,1,8,4,2,2022-08-25 19:24:47,2022-08-25 19:24:47
17,1,NULL,NULL,1,9,17,2,2022-08-27 6:21:54,2022-08-27 6:21:54
18,1,NULL,NULL,1,9,18,2,2022-08-27 6:21:54,2022-08-27 6:21:54
19,0,NULL,NULL,1,9,19,2,2022-08-27 6:21:54,2022-08-27 6:21:54
20,0,NULL,NULL,1,9,20,2,2022-08-27 6:21:54,2022-08-27 6:21:54
21,1,NULL,NULL,1,9,21,2,2022-08-27 6:21:54,2022-08-27 6:21:54
23,NULL,NULL,NULL,1,9,3,2,2022-08-27 6:21:54,2022-08-27 6:21:54
24,NULL,Gagal karena tidak konsentrasi membangun karakter,NULL,1,9,4,2,2022-08-27 6:21:54,2022-08-27 6:21:54
25,1,NULL,NULL,1,11,17,2,2022-09-05 12:44:48,2022-09-05 12:44:48
26,1,NULL,NULL,1,11,18,2,2022-09-05 12:44:48,2022-09-05 12:44:48
27,0,NULL,NULL,1,11,19,2,2022-09-05 12:44:48,2022-09-05 12:44:48
28,0,NULL,NULL,1,11,20,2,2022-09-05 12:44:48,2022-09-05 12:44:48
29,1,NULL,NULL,1,11,21,2,2022-09-05 12:44:48,2022-09-05 12:44:48
31,NULL,NULL,NULL,1,11,3,2,2022-09-05 12:44:48,2022-09-05 12:44:48
32,NULL,NULL,NULL,1,11,4,2,2022-09-05 12:44:48,2022-09-05 12:44:48
33,1,NULL,NULL,1,13,17,2,2022-09-18 13:39:31,2022-09-18 13:39:31
34,1,NULL,NULL,1,13,18,2,2022-09-18 13:39:31,2022-09-18 13:39:31
35,0,NULL,NULL,1,13,19,2,2022-09-18 13:39:31,2022-09-18 13:39:31
36,1,NULL,NULL,1,13,20,2,2022-09-18 13:39:31,2022-09-18 13:39:31
37,1,NULL,NULL,1,13,21,2,2022-09-18 13:39:31,2022-09-18 13:39:31
39,1,NULL,tes,1,13,3,2,2022-09-18 13:39:31,2022-09-18 13:39:31
40,NULL,tes,NULL,1,13,4,2,2022-09-18 13:39:31,2022-09-18 13:39:31
41,1,NULL,NULL,1,14,17,2,2022-09-18 13:50:03,2022-09-18 13:50:03
42,1,NULL,NULL,1,14,18,2,2022-09-18 13:50:03,2022-09-18 13:50:03
43,1,NULL,NULL,1,14,19,2,2022-09-18 13:50:03,2022-09-18 13:50:03
44,0,NULL,NULL,1,14,20,2,2022-09-18 13:50:03,2022-09-18 13:50:03
45,1,NULL,NULL,1,14,21,2,2022-09-18 13:50:03,2022-09-18 13:50:03
47,1,NULL,ged,1,14,3,2,2022-09-18 13:50:03,2022-09-18 13:50:03
48,NULL,tes,NULL,1,14,4,2,2022-09-18 13:50:03,2022-09-18 13:50:03
49,1,NULL,NULL,1,11,5,3,2022-09-18 13:52:19,2022-09-18 13:52:19
50,NULL,NULL,NULL,1,11,6,3,2022-09-18 13:52:19,2022-09-18 13:52:19
51,1,NULL,tes,1,6,5,3,2022-09-18 14:14:03,2022-09-18 14:14:03
52,NULL,les,NULL,1,6,6,3,2022-09-18 14:14:03,2022-09-18 14:14:03
53,0,NULL,NULL,1,15,17,2,2022-09-18 14:31:47,2022-09-18 14:31:47
54,1,NULL,NULL,1,15,18,2,2022-09-18 14:31:47,2022-09-18 14:31:47
55,1,NULL,NULL,1,15,19,2,2022-09-18 14:31:47,2022-09-18 14:31:47
56,1,NULL,NULL,1,15,20,2,2022-09-18 14:31:47,2022-09-18 14:31:47
57,1,NULL,NULL,1,15,21,2,2022-09-18 14:31:47,2022-09-18 14:31:47
59,1,NULL,NULL,1,15,3,2,2022-09-18 14:31:47,2022-09-18 14:31:47
60,NULL,NULL,NULL,1,15,4,2,2022-09-18 14:31:47,2022-09-18 14:31:47
61,1,NULL,NULL,1,16,17,2,2022-09-18 14:41:24,2022-09-18 14:41:24
62,0,NULL,NULL,1,16,18,2,2022-09-18 14:41:24,2022-09-18 14:41:24
63,1,NULL,NULL,1,16,19,2,2022-09-18 14:41:24,2022-09-18 14:41:24
64,1,NULL,NULL,1,16,20,2,2022-09-18 14:41:24,2022-09-18 14:41:24
65,1,NULL,NULL,1,16,21,2,2022-09-18 14:41:24,2022-09-18 14:41:24
67,1,NULL,NULL,1,16,3,2,2022-09-18 14:41:24,2022-09-18 14:41:24
68,NULL,NULL,NULL,1,16,4,2,2022-09-18 14:41:24,2022-09-18 14:41:24
69,1,NULL,NULL,1,17,17,2,2022-09-18 14:58:30,2022-09-18 14:58:30
70,1,NULL,NULL,1,17,18,2,2022-09-18 14:58:30,2022-09-18 14:58:30
71,1,NULL,NULL,1,17,19,2,2022-09-18 14:58:30,2022-09-18 14:58:30
72,1,NULL,NULL,1,17,20,2,2022-09-18 14:58:30,2022-09-18 14:58:30
73,1,NULL,NULL,1,17,21,2,2022-09-18 14:58:30,2022-09-18 14:58:30
